IncidentNumber	Rank	OfficerRace	OfficerGender	YearsOfSPDService	TypeOfWeapon	SubjectGender	SubjectRace	SubjectAge	Fatal	On-duty	Disposition	OfficerDisciplined?	Summary
20110000208425	Officer	White	Female	7	.357 revolver	Male	Black or African American	27	No	Yes	Justified	No	On June 28th, 2011, at approximately 11:50 P.M., a Seattle Police Patrol Officer observed a disturbance involving a large number of people, in the area of 7th Avenue South and South Dearborn. The officer observed one of the subjects draw a firearm and fire on a second subject. The officer was observing from a parking lot at an extended distance from the disturbance. The officer identified herself as police and fired on the first subject. When the first subject with the firearm fled, the second subject fired in the direction of the first subject. The officer then fired on the second subject. The officer took the second subject into custody and retrieved a 9mm firearm. The first subject fled on foot and was not located. A .357 magnum revolver was recovered along the first subjects’ path of travel.   Neither subject was injured.  One subject was charged with Assault.
20110000346119	Detective	White	Male	31	nan	Male	White	36	Yes	Yes	Justified	No	On October 23rd, 2011, at approximately 2:30 P.M. Seattle Police Detectives located a subject matching the description of a person believed to be involved in a homicide they were investigating. The subject was sitting near the intersection of 5th Avenue and Denny Way. The subject had been observed in the area using the homicide victim’s credit card. The detectives took up a surveillance position in an unmarked Seattle Police vehicle and called for additional units to make the arrest. The subject began to move, on foot and the detectives maneuvered their vehicle to keep the subject in sight. While eastbound on Denny Way their vehicle malfunctioned and the detectives decided to detain the subject. As the detectives approached the subject they identified themselves as police, and ordered the subject not to move, at gunpoint. The subject charged one of the detectives and attempted to take control of his firearm. A physical altercation ensued and the detective fired two rounds. The subject slumped to the ground and was taken into custody. The subject died at the scene.
20120000257843	Officer	Hispanic/Latino	Male	22	Semil automatic .38 caliber handgun	Male	Asian	19	No	Yes	Missing	nan	On August 6, 2012 at approximately 1:20 A.M., an on duty Seattle Police K-9 Officer responded to the scene of a shooting in the 7900 block of Rainier Avenue South.  The suspect in the shooting had left the scene and the handgun used had not been recovered. The officer and his K-9 partner tracked and did not locate the subject by 2:06 A.M. and the call was cleared.   The officer later responded to a burglary call, and while at that call learned that people frequently use the alley behind the burglary victim’s house to access Pritchard Beach Park by jumping over a fence.  The Officer and his K-9 partner decided to check the park.  The gate was open, although the park is posted closed from 10:00 P.M. to 6:00 A.M.   As the officer checked the park, he noticed a person sitting on a bench facing Lake Washington.   The subject seated on the bench got up and began to move in a ‘flanking motion’ toward the officer.   The officer then noticed that the subject was carrying a bright colored handgun in his hand.  The officer gave commands to drop the weapon, secured his K-9 partner, and advised radio of the situation.   The suspect then began to raise his weapon toward the officer.  The officer fired 2-3 rounds that missed the subject.   The subject lowered the gun and then again pointed it at the officer.   The officer fired several more rounds at the subject.  The subject then lowered himself to the ground and lay on his back.  The officer maintained cover of the subject until other officers arrived and took the subject into custody.  The subject was treated at the scene and then transported to Harborview Medical Center with non-life threatening injuries.   The subject was later booked into the King County jail and charged with Assault 1st Degree with a Deadly Weapon.
20120000295976	Officer	Black	Male	22	Vehicle	Male	Black or African American	36	No	Yes	Justified	No	On September 3, 2012 at approximately 1:40 P.M., two uniformed Seattle Police Officers riding Department issued bicycles were working an emphasis patrol in the Seattle Center during the Bumbershoot Music Festival.   While riding through a parking lot in the 100 block of Taylor Avenue North, the officers observed the subject climbing out of an SUV through a shattered window.   The officers approached the subject and ordered him to stop.  The subject ignored the officers and entered a vehicle parked next to the damaged vehicle.   The subject started the vehicle and backed up.  The subject then pulled forward at a high rate of speed, making one officer fear that he was about to be struck.  Both officers fired at the vehicle.   The vehicle continued and exited the parking lot.  The subject later abandoned the vehicle and fled on foot.  He was later taken in to custody by patrol officers responding to the call for assistance from the bicycle officers.  The subject was arrested and booked into the King County Jail for Investigation of Assault.
20120000324197	Officer	White	Female	19	Handgun	Male	Black or African American	78	Yes	Yes	Justified	No	On September 23, 2012 at approximately 11:07 P.M., uniformed officers were handling a suspicious circumstances / medical emergency call with the Seattle Fire Department in the 6300 block of South Bangor St., when the subject’s alarm company contacted Seattle Police saying that the subject was reporting a possible prowler in his house.  The subject also reported that he was armed.   Officers arrived at the home and contacted the subject, who came out of the house with a handgun.  Officers directed the subject to put the gun down.  Subject raised the gun at the officers, and two officers fired.   The subject was pronounced dead at the scene.
20120000402798	Officer	White	Male	16	Handgun	Male	Black or African American	23	No	Yes	Justified	No	On November 25, 2012 at approximately 2:00 A.M., uniformed gang detectives were monitoring bar closing in the 1000 block of Fairview Avenue east from their Seattle Police vehicle.  Officers observed the subject produce a handgun from his clothing and begin firing shots toward the exiting crowds in the parking lot.   The officer’s exited their vehicle and began to pursue the subject who had fled the scene.  Officers gave the subject commands to stop.  The subject turned back toward the officers and fired again.  The subject again pointed his weapon at the officers and two officers fired at the subject.   Officers located the subject and took the subject into custody, and then treated the subject’s gunshot wounds. The subject was transported to Harborview Medical Center.   The subject was later booked into the King County Jail and charged with Unlawful Possession of a Firearm and detained on a no-bail Department of Corrections bench warrant.
20130000031221	Officer	Black	Male	4	Handgun	Male	Black or African American	32	Yes	Yes	Missing	Missing	On January 27, 2013 at approximately 10:15 P.M., officers responded to a 911 call at a bar in the 2500 block of East Cherry Street, where witnesses reported a subject had shot two people and remained inside the bar.  Arriving officers entered the bar and observed the subject armed with a handgun.  The suspect began firing at officers, and one officer returned fire, striking the subject.   Two victims were transported to Harborview Medical Center with non-life threatening injuries.   The subject was pronounced dead at the scene.
20130000066545	Officer	White	Male	5	Metal Bar	Male	Native American	21	Yes	Yes	Missing	Missing	On February 26, 2013 at approximately 7:35 P.M., officers were dispatched to a possible Domestic Violence hostage call in the 10100 block of 4th Ave. N.W.  The call was described to officers as a son holding a knife to his father’s throat.  Officers arrived, approached the house, and engaged the subject in dialogue, and helped the father exit the house to safety.   Officers then attempted to take the subject into custody.  The subject fled and officers deployed a Taser twice without success.   The subject then turned and charged an officer who had fallen during the foot pursuit, and raised a metal bar over head in an apparent assault attempt.  Officers fired at the subject.  The subject was transported to Harborview Medical Center where he was later pronounced dead.
20130000186606	Officer	Black	Male	26	Knife	Male	White	24	No	Yes	Justified	No	On June 1, 2013 at approximately 11:43 A.M., uniformed patrol officers, driving marked Seattle Police Department vehicles responded to a 911 call of a man in the street waving a knife, in the 2500 block of 36th Ave. West.  Officers arrived and contacted the subject who was in the street waving a large kitchen knife toward another man.   The officers exited their vehicles and gave the subject commands to drop the knife.   The subject turned toward the officers, raised the knife and began advancing toward one of the officers.   Another officer fired and struck the subject in the abdomen.  The subject was treated by medics at the scene and transported to Harborview Medical Center.  The subject was charged with Assault.
20130000236273	Officer	White	Male	19	Multiple Firearms	Male	White	28	Yes	Yes	Missing	Missing	One July 5, 2013 at approximately 02:50 A.M., on duty patrol officers responded to reports of the subject in his building walking around with a handgun, and shots fired on the subject’s floor.   Officers arriving at the scene found the subject barricaded inside his apartment, armed and threatening to shoot.   SWAT and HNT (Hostage Negotiation Team) arrived at approximately 04:00 A.M. and began negotiating with the subject.   Negotiations proceeded for several hours while the subject continuing threats to shoot.   At approximately 10:36 A.M. the suspect fired at SWAT officers.   A SWAT officer returned fire, striking the subject.   The subject retreated into the apartment, and then came forward again, holding a handgun.   Another SWAT officer fired one round, stopping the subject.   The subject was located by SWAT officers in the apartment and was pronounced dead at the scene.
20130000289763	Officer	White	Male	9	Handgun	Male	Black or African American	32	Yes	Yes	Missing	Missing	On August 12, 2013 at approximately 08:48 A.M., the subject boarded a King County Metro bus in the 1300 block of 3rd Ave.   The subject refused to pay his bus fare and when the Metro Operator requested payment, a dispute occurred resulting in the subject shooting the Metro operator and then fleeing the scene.   Two off-duty units were working secondary employment posts near the incident and responded and called for on-duty backup.   Officers pursued the subject on foot when the subject attempted to board another Metro bus.   A responding marked patrol car blocked the Metro bus, when the subject raised his firearm and pointed it at officer.   Officers fired several rounds, stopping the subject.  The subject was transported to Harborview Medical Center where he later died of his wounds.  One officer was transported to Harborview Medical Center, treated and released.
20130000321925	Officer	White	Male	2	nan	Female	Black or African American	20	No	Yes	Not Justified	Yes	On September 4, 2013, at approximately 10:38 P.M., an on duty Officer in a marked Seattle Police Department vehicle responded to back another officer on the scene of an assault in the 12000 block of Aurora Ave. North.   Both officers exited their vehicles to intervene and gave the two subjects verbal orders to stop fighting.   As officers approached one subject separated and began to flee from the scene.   The involved officer pursued the subject and located the subject in the back of a parking block a few blocks away.  The officer gave the subject commands to show her hands, when the officer’s weapon discharged, striking the subject.   The officer reports that the discharge was unintentional. The subject was treated by medics and transported to Harborview Medical Center and was later booked into the Snohomish County Jail for several outstanding felony and misdemeanor warrants.
20130000429809	Officer	White	Male	2	Rifle	Male	White	51	Yes	Yes	Justified	No	On November 29, 2013 at approximately 4:04 A.M.,  patrol officers responded to a shots fired call in the 100 Block of 23rd Ave. East.   Upon arriving, officers observed a subject outside the building screaming that a male subject in the hallway window above wouldn’t let the first subject leave and that the male subject was going to kill the first subject.   Officers provided cover and escorted the first subject to safety.   The male subject then fired a round from a rifle at the responding officers.   When the subject raised the rifle to fire again, an on duty officer with a patrol rifle fired at the subject.  Medics responded and the subject was pronounced dead at the scene.
20140000019975	Officer	White	Male	18	Handgun	Male	Black or African American	23	No	Yes	Within Policy	No	On January 19, 2014 at approximately 1:35 A.M. officers were in the area of 1st and Blanchard to monitor bar closing in a Seattle Police vehicle with subdued markings.   The officers were advised by a witness that there was a possible disturbance involving a gun in the alley just south of their position.  Officers exited their vehicle to investigate and saw the subject with a gun in his hand pointing it at another male.   Officers issued commands to the subject to drop the weapon.  The subject turned toward the officers with the gun in his hand.   One officer fired two rounds at the subject.   The subject fled, and discarded the firearm a block away.   The subject continued to run and was contacted by other officers a few blocks later and was taken into custody.   The subject was transported to Harborview Medical Center with non-life threatening injuries.   The subject was alter booked into the King County Jail and charged with 2nd Degree Assault and DWI.
20140000021878	Officer	Asian/Pacific Islander	Male	8	Handgun	Male	White	37	Yes	Yes	Within Policy	No	On January 20, 2014 at approximately 10:00 P.M., officers were dispatched to a call of a man pointing a gun at passing vehicles and pedestrians, near 1st Ave South and South Hanford Street.  A two officer Seattle Police vehicle arrived and stopped a short distance from the subject.  The officers observed the subject pointing a weapon across the street toward a bar.   The officer’s gave the subject commands to drop the weapon, and the subject then turned the weapon toward the officers.  One of the officers, armed with a patrol rifle, fired at the subject.   The subject was transported to Harborview Medical Center where he was later pronounced dead.
20140000101057	Detective	White	Male	15	Knife	Male	White	26	Yes	Yes	Within Policy	No	On April 3rd, 2014, at approximately 9:20 A.M., the subject robbed the Wells Fargo Bank at 4009 East Madison St. and escaped into the surrounding residential neighborhood. Seattle Police personnel responded to locate the subject. At approximately 11:40 A.M. the subject was seen in the area of 39th Avenue East and East John St. A Seattle Police Detective located the subject in the backyard of a nearby residence.  The subject was carrying a large knife.  Upon contacting the subject, the Detective, wearing an external ballistic vest carrier with police markings and a Seattle Police badge, ordered the subject to drop the knife, and get on the ground. The subject raised the knife and charged the detective. The Detective fired on the subject with a rifle, striking him multiple times. The subject was pronounced dead at the scene.
20140000212537	Officer	Hispanic/Latino	Male	6	Handgun	Male	White	37	Yes	Yes	Within Policy	No	On July 1st, 2014, at approximately 10:20 P.M., the Washington State Patrol (WSP) engaged in a high-speed pursuit of a vehicle traveling northbound on Interstate 5 (I-5) from Pierce County. The vehicle was traveling in excess of 100 miles per hour. For safety, the WSP air unit was called to support the pursuit and tracked the vehicle into the Seattle City limits. The vehicle exited the I-5 at Swift Avenue South and South Albro Place and continued into a residential neighborhood. At Swift Avenue South and 23rd Avenue South, the driver of the vehicle fled on foot, leaving a female occupant behind. At approximately 10:35 P.M., multiple Seattle Police Patrol Officers and WSP Troopers, supported by Seattle Police K-9 Officers and air resources from the WSP began searching for the driver in the area of 23rd Avenue South and South Eddy St. After several minutes the WSP air unit located the subject behind a residence in a detached shed. As law enforcement approached the building they announced themselves and ordered the subject to surrender with his hands up. The subject refused to comply and announced he was armed with a firearm and then pointed the firearm at the lead officer, a Seattle Police Patrol Officer. The officer announced gun and fired on the subject, striking him several times. The subject was pronounced dead at the scene.
20140000235934	Officer	White	Male	9	nan	Male	Black or African American	20	No	Yes	Within Policy	No	On July 19th, 2014, at approximately 1:15 A.M., Seattle Police Patrol Officers responded to the 4000 block of 39th Avenue South for a report of a residential burglary, in-progress. Upon arrival, officers observed multiple subjects inside the home who promptly attempted to flee. Two of the subjects were taken into custody without incident. A third subject was located attempting to traverse the roof of a garage adjacent to the residence. The subject was contacted by an officer between the garage and another structure attempting to hide in the vegetation and over-growth. The subject again fled and climbed back onto the roof of the garage. After several minutes, the subject jumped to the ground and attempted to flee. In an attempt to scale a fence, the subject fell backward into the officer pursuing him. A physical altercation ensued as the officer attempted to take the subject into custody. The officer eventually fired two rounds from his firearm, striking the subject in the abdomen and inflicting a ‘slide bite’ wound to the subjects’ index finger. The subject was transported to Harborview Medical Center.
20140000249611	Officer	Asian/Pacific Islander	Male	6	Broken bottle	Male	White	42	Yes	Yes	Within Policy	No	On July 30th, 2014, at approximately 2:45 A.M., two Seattle Police Patrol Officers were in the area of Gas Works Park investigating an unrelated domestic violence call. The officers were approached by a private security officer who reported that he was attacked by a transient male who had started a warming fire and refused to leave the park. Prior to contacting the subject, officers requested an additional Crisis Intervention Trained (CIT) officer respond to assist with the contact. When the CIT officer arrived, the officers briefed a plan and approached the subject. The officers instructed the subject that he could not be in the park and that he needed to leave. The subject repeatedly refused to comply. After a period of time a Patrol Sergeant arrived and was briefed by officers. As the Sergeant approached the subject he became agitated, picked up a glass bottle and broke it, forming a jagged edge weapon. As the subject advanced on the officers, one of the officers deployed a Taser twice. Both Taser deployments were ineffective. The subject continued to advance with the weapon in his hand.  While retreating, one of the officers stumbled and fell. Two of the officers fired on the subject, striking him multiple times. The subject was transported to Harborview Medical Center where he was pronounced dead.
20140000290207	Officer	White	Male	10	Rifle	Male	White	57	Yes	Yes	Within Policy	No	On August 30th, 2014, at approximately 9:50 P.M., two Seattle Police Patrol Officers were dispatched to a report of shots fired in the 300 block of West Prospect St. On the day before officers had responded to a domestic violence call in the same area and believed the calls to be related. On the previous call, the officers were advised there were multiple firearms in the home and had recently developed probable cause to arrest the suspect in the case. As the officers arrived at the home they heard at least one additional gunshot. Both officers were equipped with patrol rifles and decided to call for additional officers before contacting the residence. Two additional Officers and a Sergeant arrived at the home and a hostage negotiator was requested. As the officers were forming a team to approach the residence, the subject appeared in the door of the residence with a rifle. One of the officers ordered the subject to drop the gun repeatedly, but the subject did not comply.    The subject took up a shooting position in the doorway and began firing on the officers. Both of the officers equipped with patrol rifles returned fire. After the initial exchange the subject retreated to a position of cover. The officers fired on the subject again and the subject retreated inside the residence. The officers held their positions until a Special Weapons and Tactics team could enter the home.  The subject was located deceased in the house.
20140000295588	Officer	White	Female	22	Knife	Male	White	23	No	Yes	Within Policy	No	On September 4th, 2014, at approximately 4:10 P.M., Seattle Police Officers, Assisted by University of Washington Police Department (UWPD) officers responded to the 6500 block of Roosevelt Way Northeast for a report of an agitated man with two knives. Officers contacted the subject in the 4100 block of 12th Avenue Northeast. The subject refused to comply with repeated commands to drop the knives and made several suicidal comments.  Pepper spray was applied but was ineffective. The subject fled and was re-contacted in the 4100 block of 11th Avenue Northeast.  Officers tried to get the subject to surrender, but he would not comply. A Taser was applied but was ineffective.  The subject then stepped towards the officers swinging a butcher knife. One officer fired a single round at the subject, missing him.  He then fled on foot still refusing to drop the knife.  Special Weapons and Tactics officers deployed less lethal rounds and the subject still would not drop the knife.  After continued negotiations, the subject surrendered and was taken into custody behind 4100 Roosevelt Way Northeast.  The subject was booked into the King County Jail.
20140000431136	Officer	White	Male	<1	nan	Male	Black or African American	31	No	Yes	Out of Policy	No	On December 31st, 2014, at approximately 10:40 P.M., Seattle Police Officers responded to the 4200 block of South Eddy St. to investigate a domestic violence report. While talking to a male subject associated with the call, officers heard gunshots coming from the street near where two vehicles were approaching them. The officers took up defensive positions and returned fire. One vehicle fled the area. The occupants of the other vehicle were detained and searched. No weapons were found. A .45 caliber handgun was located some distance down the street and is believed to have been thrown from the second car as it fled.   All three officers were referred to OPA by the Force Review Board who found the shooting to be not within policy.   OPA recommended discipline.  Discipline was overturned by Chief O'Toole.
20150000244504	Officer	White	Male	6	Knife	Male	White	27	Yes	Yes	Within Policy	No	On July 17th, 2015, at approximately 4:00 AM, an on-duty Seattle Police Officer, driving a marked patrol vehicle, was forced off of Interstate 5 by a “smaller black hatchback or sedan.” The vehicle fled the scene, northbound and a “help the officer” call was issued. Over the next 30 minutes, officers located debris from what was believed to be a gray Mazda. At approximately 4:40 AM, in the 6500 block of Ravenna Avenue NE, a Seattle Police Officer assisting in the search located a vehicle matching the description. The vehicle was occupied by a single subject and had damage to the right front bumper. The officer initiated contact as the subject exited the vehicle. The subject approached the officer with a large knife. The officer ordered the subject to drop the knife. The subject did not comply and the officer opened fire, striking the subject. The subject was pronounced dead at the scene.     The subject was treated by medics and pronounced dead at the scene.
20150000340293	Officer	White	Male	3	Gun	Male	Black or African American	25	No	Yes	Within Policy	No	On September 29th, 2015, at approximately 3:00 A.M., two Seattle Police Patrol Officers responded to a call of a man with a gun. The caller, who identified himself as an off-duty security guard, said the subject had displayed a handgun and stated it was a Beretta. The caller drew his firearm and pursued the subject while talking to 911. Officers located the subject in the 200 block of Spring St. The officers located the subject in the doorway of a commercial building, identified themselves and gave several commands for the subject to drop his firearm. The subject turned to face the officers and raised his firearm. One of the officers fired on the subject, twice, striking him once in the left index finger. The subject was taken into custody, treated at the scene and transported to Harborview Medical Center where he recovered from his injuries. The subject was treated at the scene and transported to Harborview Medical Center where he recovered from his injuries.
20150000340351	Officer	White	Male	15	Knife	Male	White	24	No	Yes	Within Policy	No	On September 29th, 2015 at approximately 5:30 AM, Seattle Police Officers responded to a report of an “interrupted car prowl” in the 1000 block of NE 98th St. Officers located the subject a short distance from the initial call and attempted to contact him. The subject displayed a knife and was ordered multiple times to drop the knife. The subject fled. Officers attempted, unsuccessfully, to apprehend the subject using a Taser but the subject was able to continue his escape. A short distance later, near the intersection of Roosevelt Way NE and NE 100th St., the officer confronted the subject. The subject continued to refuse commands to drop the knife. The officer fired on the subject, striking him three times.  The subject was treated at the scene and transported to Harborview Medical Center, where he recovered from his injuries. The subject was struck three times with rounds from the officer's handgun.   The subject was treated at the scene and transported to Harborview Medical Center where he recovered from his injuries.
20150000423533	POLICE OFFICER	Hispanic or Latino	Male	13	Gun	Male	White	35	Yes	Yes	Within Policy	No	On Sunday, the 6th of December, 2015, at approximately 12:30 PM, several people in businesses beginning around Pike Place Market and continuing north along 1st Avenue, noted the behavior of a highly agitated male subject. Between 12:40 PM and 12:45, the subject carjacked a vehicle, at gunpoint, in the area of 3rd Avenue, between Bell and Blanchard. At 12:47 PM the Seattle Police Communications Center received the first of several emergency calls regarding the subject. The caller stated the subject was driving recklessly down the Burke Gilman Trail, five miles north of where the carjacking occurred. Over the next 45 minutes, the subject nearly struck at least one pedestrian, carjacked an additional two vehicles, threatened several community members with a weapon and was eventually located, at 1:32 PM, in the area of NE 54th and Revenna. Several officers joined the pursuit during which five attempts were made to “ram” or Pursuit Intervention Technique (PIT), the subject. In the course of the pursuit, the subject fired on officers at least twice. At 1:53 PM, in the 900 block of N. Northlake Way, the fifth and final attempt to PIT the vehicle was successful in ending the pursuit but not disabling the vehicle. As the vehicle attempted to flee, an officer observed the subject point his weapon at another officer and opened fire. In total, eleven officers discharged their weapons more than 100 times into the vehicle, disabling it and the driver. View of the interior of the vehicle and the subject was obscured by airbags. Attempts to break the window with less-lethal, Blue Nose rounds were unsuccessful.  At 2:03 PM, a SWAT contact team approached the vehicle from the driver’s side. Upon opening the driver’s door, a SWAT officer observed movement from the subject and discharged his rifle multiple times, striking the subject. The subject was extracted from the vehicle and died at the scene.
20160000010077	POLICE OFFICER	White	Male	6	Knife	Male	Black or African American	31	No	Yes	Within Policy	No	On the 9th of January, 2016, officers responded to the 1500 block of Queen Anne Ave N. for a report of an attempted auto theft. The subject attempted to flee in the car but struck a parked vehicle and fled into the surrounding neighborhood, on foot. An officer, wearing a police uniform and driving a marked police car, located the subject near the intersection of 2nd Ave W. and W. Highland St. and attempted to make contact. The subject, who was walking away from the officer, tuned to face him and withdrew two knives from his pockets. The subject advanced toward the officer, a knife in each hand. The officer pointed his firearm at the subject and ordered him to “drop the knives” as he walked backward from the subject and called for a “fast back” response from officer in the area. The subject continued to advance toward the officer’s car and became more aggressive. The officer fired four rounds, striking the subject. The subject fell to the ground and dropped the knives. Shortly thereafter the subject moved toward the officer’s car, opened the door and locked himself inside. At this time, three backup officers arrived and formed a contact team. The officer approached the car and attempted, twice, to Taser the subject through a partially open window but were not successful in gaining compliance from the subject. At this point, the officers used a spare key to unlock the door. The subject responded by throwing one of his knives at the officers but was taken into custody. Officers provided first aid until the Seattle Fire Department arrived. The subject was transported to Harborview Medical Center, where he recovered from his injuries.
20160000062644	Officer	White	Male	7	Gun	Male	Black or African American	46	Yes	Yes	Within Policy	No	On February 21, 2016, at approximately 1538 hours, officers were conducting surveillance in the area of 21st Avenue NE and NE 85th Street when they observed a vehicle arrive, which they recognized as identical to one recently posted on social media by the subject, a convicted felon known to them through prior contacts. One of the officers noticed that the subject was wearing a handgun in a holster on his right hip. It was illegal for the subject to possess a firearm because he was a convicted felon. The subject walked away from the vehicle and disappeared in to the residence that the officers were surveilling. After contacting their Sergeant to request resources and assistance to arrest the subject, both officers prepared their outer garment so they exposed "POLICE" and "SEATTLE POLICE" in bold lettering. The officers planned to wait and arrest the subject when he left the residence. The officers saw the subject leave the apartment. An unknown vehicle arrived and parked temporarily obstructing the officers’ view, and they lost sight of the subject. About a minute later, the officers saw another vehicle approach and pull next to the curb behind the subject’s vehicle. The subject opened the passenger door and stood between the passenger door and the vehicle. Both officers believed that the subject was going to move towards his own vehicle. The officers pointed their weapons at the subject and began giving loud verbal commands including “Hands up” and “Get on the ground.” As the officers moved towards the subject, they believed that the subject was reaching for and drawing the firearm from the holster on his right hip.  The officers opened fire, striking the subject. The subject was treated by medics at the scene. A loaded .45 caliber pistol was recovered from the passenger floorboard of the car that the subject had exited, and a matching holster was cut from subject's belt as he was being treated at the scene. The subject was transported to Harborview Medical Center, where he was pronounced dead.  .
20160000218268	POLICE OFFICER	White	Female	7	Knife	Male	White	56	No	Yes	Within Policy	No	On the 19th of June, 2016, at approximately 1:40 PM, officers responded to a Domestic Violence call in the 1900 block of Dearborn St. The caller reported that his husband was suicidal and chasing him with a knife. The first responding officer located the caller alone on a street corner and contacted him to investigate the 911 call.  Shortly thereafter, the subject, armed with two large chef’s knifes, one in each hand, approached the officer. A second officer arrived, equipped with a Taser. The subject advanced toward the officers and did not comply with repeated instructions to “stop” and “drop the knives.” One officer fired 6 round striking the subject three times: in the upper right shoulder, the right side of the torso and the groin.  The subject was transported to Harborview Medical Center where he recovered from his injuries.
20160000368725	POLICE SERGEANT	Black or African American	Female	19	Knife	Male	Asian	44	Yes	Yes	Within Policy	No	On the 11th of October 2016, at approximately 12:45 P.M., SPD personnel were in a joint effort with [CITY DEPARTMENTS] to abate a homeless encampment located in the East Duwamish Greenbelt, an area under Interstate 5 also known as The Jungle. In response to reports that several people were refusing to clear the area, a Captain and a Sergeant attempted a count, in an effort to evaluate the situation. As they were returning to the Command Post in a vehicle, the SPD personnel were flagged down by a Washington State Department of Transportation employee directing their attention to two men involved in a physical altercation, and utilized hand gestures to indicate a knife was present. The SPD personnel gave verbal commands and attempted to separate the two subjects, physically. As they were doing so, they identified sharp force injury to one of the subjects and observed a knife in the hand of the other. The Captain and the Sergeant pointed their firearms at the armed subject and ordered him to drop the knife. The subject stood up and pointed the knife at the SPD personnel. The subject then adjusted his grip on the weapon from underhand to overhand and continued to refuse commands to drop the weapon. The Sergeant fired their pistol three times, striking the subject in the chest. Seattle Fire Department (SFD) resources responded to give aid. The was transported to Harborview Medical Center, where he was pronounced dead. The other subject involved in the physical altercation was also transported to Harborview Medical Center and treated for their injuries.
20170000138013	POLICE OFFICER	Black or African American	Female	3	Knife	Male	Black or African American	19	Yes	Yes	Within Policy	No	On the 20th of April 2016, at approximately 1:18 P.M., Seattle Police Officers responded to a report of an armed robbery at a convenience store located in the 600 block of 1st Ave. The clerk reported two subjects (one female and one male) shoplifted several items from the store and when confronted, the male produced a pistol. Two officers on bicycles identified three subjects (one female and two males), two of which matched the descriptions provided by the convenience store clerk, walking northbound on 1st Ave and attempted to detain them in an investigative stop. One male subject was detained and determined to be unarmed. The other male subject and female subject fled on foot. After a short pursuit, officers caught up with the male subject and attempted to take him into custody. During the struggle, the female subject struck one of the officers in the head with a bottle and then attempted to place the officer in a chokehold, eventually the male subject was able to escape. Officers pursued and located the male subject at the Federal Reserve building, having entered through the loading dock. The officer pointed their firearm at the subject and ordered him to surrender his firearm. The subject fired on the officer, striking them in the lower abdomen of their ballistic vest. The officer returned fire, striking the subject. Three additional officers responded and evacuated the officer who was shot. The subject then fired again, striking a second officer in the jaw and a third officer in the thumb. Three officers returned fire, striking the subject multiple times. SPD SWAT, King County SWAT and K9 units responded to the scene. After several attempts to determine whether the subject was still a threat, a K9 was sent to extract the subject from the position where he fell following the earlier second exchange of gunfire.        Paramedics attempted to render aid but determined the subject was deceased.
20170000193874	POLICE OFFICER DETECTIVE	White	Male	23	Handgun	Male	White	37	No	Yes	Within Policy	No	On the 31st of May 2017, at approximately 2:00 P.M., a task force convened under the Bureau of Alcohol, Tobacco, Firearms and Explosives (ATF), including: Washington State Department of Corrections (DOC), King County Sheriff’s (KCSO) Deputies and a Seattle Police Detective were observing a fugitive wanted under a DOC Escape Warrant at a residence in Renton, Washington. Task force members identified an opportunity to apprehend the subject, without endangering a female cohabitant and a child, and approached the subject. The SPD detective was concealed near the front of the residence. The remaining members approached the subject in an unmarked DOC vehicle with its emergency lights activated, positioning the vehicle behind a parked vehicle occupied by the subject and attempted contact. The subject accessed a firearm from the floor of the vehicle he was occupying and fled on foot, toward the front of the residence and the waiting SPD detective. The detective observed a firearm in the hand of the subject and yelled “Gun!” then “Seattle Police!” The subject raised the firearm toward the detective and the detective fired several rounds, striking the subject. A DOC Community Corrections Specialist (CCS) also fired on the subject, believing they had observed the subject fire on the SPD detective. Two spent casings were found at the scene, believed to be fired by the subject at the task force. The subject was hit multiple times and fell onto the lawn. Aid was rendered at the scene and the subject was transported to Harborview Medical Center, where he was treated and released into the custody of the Washington State DOC. The subject was investigated for 1st degree Assault, for firing on the task force.
